time,live_nodes,live_percentage,total_transmissions,node_1_energy,node_1_alive,node_1_type,node_2_energy,node_2_alive,node_2_type,node_3_energy,node_3_alive,node_3_type,node_4_energy,node_4_alive,node_4_type,node_5_energy,node_5_alive,node_5_type,node_6_energy,node_6_alive,node_6_type,node_7_energy,node_7_alive,node_7_type,node_8_energy,node_8_alive,node_8_type,node_9_energy,node_9_alive,node_9_type,node_10_energy,node_10_alive,node_10_type
38,10,100.0,0,97.50594327719998,1,CLUSTER_HEAD,97.08352297029666,1,REGULAR,97.1602952619999,1,CLUSTER_HEAD,96.69775895212001,1,REGULAR,96.81163498289997,1,REGULAR,96.6188479772,1,REGULAR,97.57063827029664,1,CLUSTER_HEAD,97.16315996200002,1,REGULAR,97.22491425212002,1,CLUSTER_HEAD,97.0666349829,1,REGULAR
39,10,100.0,0,97.45143597641997,1,CLUSTER_HEAD,97.02851596938666,1,REGULAR,97.1007859609599,1,CLUSTER_HEAD,96.63774995095001,1,REGULAR,96.74912998224997,1,REGULAR,96.55384197642,1,REGULAR,97.51862996938664,1,CLUSTER_HEAD,97.11065196096003,1,REGULAR,97.16790395095,1,CLUSTER_HEAD,97.00912998225,1,REGULAR
40,10,100.0,0,97.39692864228664,1,CLUSTER_HEAD,96.97350896845333,1,REGULAR,97.04127662655989,1,CLUSTER_HEAD,96.57774094975001,1,REGULAR,96.68662498158331,1,REGULAR,96.48883597562,1,REGULAR,97.46662163511996,1,CLUSTER_HEAD,97.05814395989336,1,REGULAR,97.11089361641666,1,CLUSTER_HEAD,96.95162498158334,1,REGULAR
41,10,100.0,0,97.34242127479997,1,CLUSTER_HEAD,96.91850196749667,1,REGULAR,96.98176725879989,1,CLUSTER_HEAD,96.51773194852001,1,REGULAR,96.62411998089998,1,REGULAR,96.4238299748,1,REGULAR,97.41461326749663,1,CLUSTER_HEAD,97.00563595880003,1,REGULAR,97.05388324852,1,CLUSTER_HEAD,96.8941199809,1,REGULAR
42,10,100.0,0,97.28791387395998,1,CLUSTER_HEAD,96.86349496651667,1,REGULAR,96.9222578576799,1,CLUSTER_HEAD,96.45772294726001,1,REGULAR,96.56161498019998,1,REGULAR,96.35882397396,1,REGULAR,97.36260486651663,1,CLUSTER_HEAD,96.95312795768002,1,REGULAR,96.99687284726,1,CLUSTER_HEAD,96.8366149802,1,REGULAR
43,10,100.0,0,97.23340643976664,1,CLUSTER_HEAD,96.80848796551334,1,REGULAR,96.86274842319989,1,CLUSTER_HEAD,96.39771394597001,1,REGULAR,96.49910997948331,1,REGULAR,96.2938179731,1,REGULAR,97.31059643217996,1,CLUSTER_HEAD,96.90061995653336,1,REGULAR,96.93986241263666,1,CLUSTER_HEAD,96.77910997948332,1,REGULAR
44,10,100.0,0,97.17889897221997,1,CLUSTER_HEAD,96.75348096448667,1,REGULAR,96.80323895535989,1,CLUSTER_HEAD,96.33770494465001,1,REGULAR,96.43660497874997,1,REGULAR,96.22881197222,1,REGULAR,97.25858796448662,1,CLUSTER_HEAD,96.84811195536003,1,REGULAR,96.88285194464999,1,CLUSTER_HEAD,96.72160497875,1,REGULAR
45,10,100.0,0,97.12439147131997,1,CLUSTER_HEAD,96.69847396343667,1,REGULAR,96.74372945415988,1,CLUSTER_HEAD,96.27769594330002,1,REGULAR,96.37409997799998,1,REGULAR,96.16380597132,1,REGULAR,97.20657946343661,1,CLUSTER_HEAD,96.79560395416003,1,REGULAR,96.82584144329998,1,CLUSTER_HEAD,96.664099978,1,REGULAR
46,10,100.0,0,97.06988393706663,1,CLUSTER_HEAD,96.64346696236333,1,REGULAR,96.68421991959988,1,CLUSTER_HEAD,96.21768694192002,1,REGULAR,96.31159497723331,1,REGULAR,96.09879997040001,1,REGULAR,97.15457092902994,1,CLUSTER_HEAD,96.74309595293336,1,REGULAR,96.76883090858665,1,CLUSTER_HEAD,96.60659497723333,1,REGULAR
47,10,100.0,0,97.01537636945997,1,CLUSTER_HEAD,96.58845996126666,1,REGULAR,96.62471035167988,1,CLUSTER_HEAD,96.15767794051003,1,REGULAR,96.24908997644998,1,REGULAR,96.03379396946,1,REGULAR,97.1025623612666,1,CLUSTER_HEAD,96.69058795168003,1,REGULAR,96.71182034050999,1,CLUSTER_HEAD,96.54908997644999,1,REGULAR
